Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
Region I,2018,December,1522,6.654209808964805,高,0
Region I,2019,January,596,6.225480947161671,高,0
Region I,2019,February,633,7.249546018322509,高,0
Region I,2019,March,399,7.756761229314421,高,0
Region I,2019,April,183,6.26851905283833,高,0
Region I,2019,May,197,4.564577340634322,中,0
Region I,2019,June,743,5.710290953922022,中,0
Region I,2019,July,2587,7.774519052838329,高,0
Region I,2019,August,4178,7.119719675780506,高,1
Region I,2019,September,4814,6.902225945428435,高,1
Region I,2019,October,2585,6.475480947161671,高,0
Region I,2019,November,2133,6.135403126149998,高,0
Region I,2019,December,819,5.75,中,0
Region I,2020,January,424,6.225480947161671,高,0
Region I,2020,February,442,6.233194105249231,高,0
Region I,2020,March,352,6.255333333333333,高,0
Region I,2020,April,46,5.569852386171663,中,0
Region I,2020,May,87,4.2307122895533045,中,0
Region I,2020,June,186,4.126444444444445,中,0
Region I,2020,July,452,4.696074608393885,中,0
Region I,2020,August,1030,6.790814280495004,高,0
Region I,2020,September,1052,5.771359223300971,中,0
Region I,2020,October,807,5.475480947161671,中,0
Region I,2020,November,1212,5.9773396832211505,中,0
Region I,2020,December,1081,6.06990231990232,高,0
Region II,2016,January,659,3.225480947161671,低,0
Region II,2016,February,408,6.552852386171662,高,0
Region II,2016,March,211,6.118,高,0
Region II,2016,April,138,4.63163016394944,中,0
Region II,2016,May,126,3.880296830616107,低,0
Region II,2016,June,126,3.4393333333333334,低,0
Region II,2016,July,390,4.243852386171663,中,0
Region II,2016,August,754,5.909925391606116,中,0
Region II,2016,September,552,5.634444444444444,中,0
Region II,2016,October,292,5.251036502717226,中,0
Region II,2016,November,181,3.36636983605056,低,0
Region II,2016,December,54,2.4215555555555555,低,0
Region II,2017,January,265,3.105036502717226,低,0
Region II,2017,February,112,3.843407941727218,低,0
Region II,2017,March,130,3.6460476190476188,低,0
Region II,2017,April,112,3.697852386171663,低,0
Region II,2017,May,129,3.7843365131557896,低,0
Region II,2017,June,260,5.580666666666667,中,0
Region II,2017,July,639,6.115202813522091,高,0
Region II,2017,August,819,6.502266873447354,高,0
Region II,2017,September,668,5.960144927536232,中,0
Region II,2017,October,990,6.957516875305384,高,0
Region II,2017,November,678,6.475480947161671,高,0
Region II,2017,December,508,6.75,高,0
Region II,2018,January,418,6.585061659949931,高,0
Region II,2018,February,267,6.608074608393884,高,0
Region II,2018,March,234,5.673111111111111,中,0
Region II,2018,April,238,5.7667241810434575,中,0
Region II,2018,May,276,5.943294029495659,中,0
Region II,2018,June,573,7.113777777777778,高,0
Region II,2018,July,1516,8.774519052838329,极高,0
Region II,2018,August,2518,7.886430815235549,高,0
Region II,2018,September,3698,7.218625893566323,高,1
Region II,2018,October,2921,6.475480947161671,高,1
Region II,2018,November,2522,6.475480947161671,高,1
Region II,2018,December,2497,6.75,高,0
Region II,2019,January,1797,7.225480947161671,高,0
Region II,2019,February,2136,7.963166799082068,高,0
Region II,2019,March,1355,8.25,极高,0
Region II,2019,April,429,8.327040061241691,极高,0
Region II,2019,May,486,7.992255750922853,高,0
Region II,2019,June,1171,9.166,极高,0
Region II,2019,July,1922,7.683661273928934,高,0
Region II,2019,August,2446,6.498113621459278,高,0
Region II,2019,September,2152,5.75,中,0
Region II,2019,October,1202,5.475480947161671,中,0
Region II,2019,November,957,5.475480947161671,中,0
Region II,2019,December,581,5.75,中,0
Region II,2020,January,324,6.225480947161671,高,0
Region II,2020,February,436,5.554198065184008,中,0
Region II,2020,March,117,5.8404444444444445,中,0
Region II,2020,April,18,3.860963497282774,低,0
Region II,2020,May,17,2.801407941727218,低,0
Region II,2020,June,30,3.1889281045751634,低,0
Region II,2020,July,54,2.8667412750605514,低,0
Region II,2020,August,108,2.7628142804950047,低,0
Region II,2020,September,109,1.7083703703703705,极低,0
Region II,2020,October,158,1.9956888982320076,极低,0
Region II,2020,November,161,1.9180238444893785,极低,0
Region II,2020,December,96,2.177111111111111,低,0
Region III,2016,January,1976,3.225480947161671,低,0
Region III,2016,February,1748,6.774519052838329,高,0
Region III,2016,March,883,7.25,高,0
Region III,2016,April,549,7.524519052838329,高,0
Region III,2016,May,365,7.521185719504995,高,0
Region III,2016,June,363,5.858888888888889,中,0
Region III,2016,July,1701,6.952519052838329,高,0
Region III,2016,August,2877,6.9168389718530285,高,0
Region III,2016,September,3194,5.860184219673271,中,0
Region III,2016,October,3155,5.475480947161671,中,0
Region III,2016,November,2207,5.475480947161671,中,0
Region III,2016,December,1971,5.75,中,0
Region III,2017,January,2301,6.557382333046474,高,0
Region III,2017,February,1264,6.774519052838329,高,0
Region III,2017,March,1006,7.38929784824462,高,0
Region III,2017,April,644,7.697560947191699,高,0
Region III,2017,May,430,7.702601244619151,高,0
Region III,2017,June,756,8.588139534883721,极高,0
Region III,2017,July,3263,8.692802415566137,极高,0
Region III,2017,August,4764,7.341378630192282,高,0
Region III,2017,September,3263,5.7716030056355665,中,0
Region III,2017,October,2811,5.475480947161671,中,0
Region III,2017,November,2310,5.522150634520076,中,0
Region III,2017,December,2388,5.995333965881911,中,0
Region III,2018,January,2497,6.356306194650745,高,0
Region III,2018,February,1829,7.2215127237244054,高,0
Region III,2018,March,1237,7.479622266401591,高,0
Region III,2018,April,724,7.648742655322801,高,0
Region III,2018,May,695,8.140798122605771,极高,0
Region III,2018,June,1174,8.492118686003579,极高,0
Region III,2018,July,4576,8.176909491085341,极高,0
Region III,2018,August,5581,6.61659961543714,高,0
