Month,Year,Region,Dengue_Cases,Dengue_Deaths,MonthNum,Date,YearMonth,Lag1_Cases,Lag2_Cases,Lag3_Cases,Month_Sin,Month_Cos,MA3_Cases,MA6_Cases,MA12_Cases,EWMA3_Cases,MoM_Growth,YoY_Growth,Outbreak,Outbreak_Level,Risk_Score,Risk_Level
August,2016,Region X,2897,11,8,2016-08-01,2016-08,2519.0,973.0,825.0,-0.8660254037844385,-0.5000000000000004,2129.6666666666665,1487.6666666666667,1445.0,2314.141176470588,0.15005954743946015,0.0,0,1,6.375540494601131,高
September,2016,Region X,2386,10,9,2016-09-01,2016-09,2897.0,2519.0,973.0,-1.0,-1.8369701987210297e-16,2600.6666666666665,1728.0,1549.5555555555557,2350.140900195695,-0.176389368312047,0.0,0,1,5.75,中
October,2016,Region X,1794,10,10,2016-10-01,2016-10,2386.0,2897.0,2519.0,-0.8660254037844386,0.5000000000000001,2359.0,1899.0,1574.0,2071.798631476051,-0.24811399832355407,0.0,0,0,5.475480947161671,中
November,2016,Region X,1066,6,11,2016-11-01,2016-11,1794.0,2386.0,2897.0,-0.5000000000000004,0.8660254037844384,1748.6666666666667,1939.1666666666667,1527.8181818181818,1568.6536394723987,-0.4057971014492754,0.0,0,0,5.475480947161671,中
December,2016,Region X,874,2,12,2016-12-01,2016-12,1066.0,1794.0,2386.0,-2.4492935982947064e-16,1.0,1244.6666666666667,1922.6666666666667,1473.3333333333333,1221.2420024420023,-0.18011257035647277,0.0,0,0,5.75,中
January,2017,Region X,1097,4,1,2017-01-01,2017-01,874.0,1066.0,1794.0,0.49999999999999994,0.8660254037844387,1012.3333333333334,1685.6666666666667,1443.9166666666667,1159.1134171651813,0.2551487414187643,-0.24344827586206896,0,0,6.480629688580436,高
February,2017,Region X,600,2,2,2017-02-01,2017-02,1097.0,874.0,1066.0,0.8660254037844386,0.5000000000000001,857.0,1302.8333333333333,1395.25,879.5396447537081,-0.45305378304466726,-0.4932432432432432,0,0,6.774519052838329,高
March,2017,Region X,482,4,3,2017-03-01,2017-03,600.0,1097.0,874.0,1.0,6.123233995736766e-17,726.3333333333334,985.5,1356.75,680.7637562181463,-0.19666666666666666,-0.489406779661017,0,0,7.25,高
April,2017,Region X,451,2,4,2017-04-01,2017-04,482.0,600.0,1097.0,0.8660254037844387,-0.4999999999999998,511.0,761.6666666666666,1330.3333333333333,565.8801251239795,-0.06431535269709543,-0.41276041666666663,0,0,7.1198523861716625,高
May,2017,Region X,356,2,5,2017-05-01,2017-05,451.0,482.0,600.0,0.49999999999999994,-0.8660254037844387,429.6666666666667,643.3333333333334,1291.25,460.939261926742,-0.21064301552106435,-0.5684848484848485,0,0,6.662741275060551,高
June,2017,Region X,451,1,6,2017-06-01,2017-06,356.0,451.0,482.0,1.2246467991473532e-16,-1.0,419.3333333333333,572.8333333333334,1247.75,455.969612005661,0.2668539325842696,-0.5364850976361768,0,0,6.0506317103620475,高
July,2017,Region X,686,3,7,2017-07-01,2017-07,451.0,356.0,451.0,-0.4999999999999997,-0.8660254037844388,497.6666666666667,504.3333333333333,1095.0,570.985025377322,0.5210643015521064,-0.7276697102024613,0,0,6.660472243279324,高
